DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2071;;166.4 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
2072;;162.31 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2073;;145 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2074;;148.6 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;LED;
2075;;165 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2076;;166 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2077;;168.9 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2078;;162 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
2079;;143.51 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
2080;;160 mm;1440x3040;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
2081;;144.8 mm;1080x2280;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
2082;;144.8 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2083;;259 mm;1620x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2084;;155 mm;828x1792;Color IPS TFT LCD display;30 bit/pixel;LED;60 Hz
2085;1-hole;160 mm;1080x2520;Color IPS TFT LCD display;24 bit/pixel;LED;
2086;1-hole;155.1 mm;1440x3040;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2087;;165.1 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
2088;;162 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2089;;201.17 mm;2088x2250;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2090;;147 mm;1125x2436;Color AM-OLED display;30 bit/pixel;Yes;60 Hz
2091;;114.3 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2092;;203 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2093;;135 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2094;;145.3 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2095;;256.54 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2096;;127 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2097;;168.9 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
2098;;162.81 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2099;;119 mm;720x1280;Color IPS TFT LCD display;;Yes;
2100;1-hole;159.4 mm;1080x2280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2101;;162 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2102;;213 mm;1600x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2103;;154.9 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2104;;154.9 mm;;Color IPS TFT LCD display;24 bit/pixel;LED;
2105;;139.7 mm;540x1132;Color IPS TFT LCD display;24 bit/pixel;LED;
2106;;152.4 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2107;;154.94 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2108;1-hole;163.5 mm;1440x3040;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2109;1-hole;146.1 mm;1080x2280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2110;;154.63 mm;720x1560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2111;;160 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;Yes;
2112;;165.1 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2113;1-hole;162.3 mm;1080x2310;Color IPS TFT LCD display;24 bit/pixel;LED;
2114;;165.9 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2115;;145.03 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2116;;157.5 mm;1080x2232;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2117;;144.78 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2118;;156.2 mm;1080x2220;Color IPS TFT LCD display;24 bit/pixel;LED;
2119;;162.31 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
2120;;144.7 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2121;;138.4 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;LED;
2122;;174.8 mm;640x1352;Color IPS TFT LCD display;24 bit/pixel;LED;
2123;;139.7 mm;640x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2124;;182 mm;1080x2244;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2125;;144.78 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2126;;149.2 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2127;;162.8 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2128;;158.49 mm;1080x2270;Color IPS TFT LCD display;24 bit/pixel;LED;
2129;;157.5 mm;720x1570;Color IPS TFT LCD display;24 bit/pixel;LED;
2130;;157.2 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;LED;
2131;;170 mm;1080x2460;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2132;;157.4 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2133;1-hole;165.9 mm;1080x2340;Color IPS TFT LCD display;30 bit/pixel;LED;
2134;;157.73 mm;1080x2248;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2135;;139.7 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2136;;148.6 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2137;;155 mm;600x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2138;;144.7 mm;720x1498;Color IPS TFT LCD display;24 bit/pixel;Yes;
2139;;126.7 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2140;;134.6 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2141;;162.5 mm;1440x3120;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2142;;152.4 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2143;;138.4 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2144;;159 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2145;;169.4 mm;1440x3140;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
2146;;101 mm;640x1136;Color IPS TFT LCD display;24 bit/pixel;LED;
2147;1-hole;169.3 mm;1440x3040;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2148;;178 mm;600x1024;Color IPS TFT LCD display;24 bit/pixel;Yes;
2149;;163.1 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2150;;165.86 mm;1080x2340;Color TN-TFT LCD display;24 bit/pixel;LED;
2151;;157.4 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2152;;162.5 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2153;1-hole;160 mm;1080x2340;Color PLS TFT LCD display;24 bit/pixel;LED;
2154;;162.1 mm;720x1560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2155;;157.73 mm;1080x2248;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2156;;254 mm;800x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2157;;267 mm;1668x2224;Color IPS TFT LCD display;24 bit/pixel;LED;
2158;;159 mm;1520x720;Color IPS TFT LCD display;24 bit/pixel;LED;
2159;;266.2 mm;1600x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2160;;165.1 mm;1080x2520;Color IPS TFT LCD display;24 bit/pixel;LED;
2161;;176.5 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2162;;144.8 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2163;;139.7 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2164;;38.94 mm;324x394;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2165;;152.14 mm;1440x2880;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2166;;151.6 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2167;;150.8 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
2168;;165.86 mm;1080x2340;Color IPS TFT LCD display;30 bit/pixel;LED;
2169;;157.4 mm;720x1520;Color TN-TFT LCD display;24 bit/pixel;Yes;
2170;;154.635 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
2171;;199.4 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;LED;
2172;;203.1 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2173;;139 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2174;;138 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2175;;148.3 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2176;;102 mm;192x960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2177;;138.4 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2178;;157.5 mm;1080x2244;Color IPS TFT LCD display;24 bit/pixel;LED;
2179;;60.9 mm;320x240;Color TN-TFT LCD display;;Yes;
2180;;60.9 mm;240x320;Color TN-TFT LCD display;;Yes;
2181;;28.1 mm;360x360;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2182;;174 mm;640x1352;Color IPS TFT LCD display;24 bit/pixel;Yes;
2183;;147.3 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2184;;154.69 mm;1440x3120;Color IPS TFT LCD display;24 bit/pixel;LED;
2185;;101.6 mm;480x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2186;;144.7 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
2187;;144.78 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;Yes;
2188;;152 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2189;;114.3 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;LED;
2190;;162.56 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2191;;148.84 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2192;;132 mm;1080x2280;Color ASV TFT LCD display;24 bit/pixel;Yes;120 Hz
2193;;152.15 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2194;;152.15 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2195;;139 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2196;;126.7 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2197;;126.3 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2198;;126.3 mm;720x1280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2199;;157 mm;1080x2280;Color IPS TFT LCD display;30 bit/pixel;LED;
2200;;152.2 mm;1440x2880;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2201;;32.9 mm;360x360;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2202;;132.08 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2203;;152.6 mm;720x1480;Color TN-TFT LCD display;24 bit/pixel;LED;
2204;;139.7 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2205;;157.4 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2206;;139.7 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2207;;152.14 mm;1080x2160;Color IPS TFT LCD display;30 bit/pixel;LED;
2208;;162 mm;1440x3120;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2209;;152.14 mm;2160x1080;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2210;;159 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2211;;31 mm;;Color IPS TFT LCD display;24 bit/pixel;Yes;
2212;;119 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2213;;162.31 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2214;;200 mm;2048x1536;Color IPS TFT LCD display;24 bit/pixel;Yes;
2215;;213 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2216;;254 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2217;;198 mm;1920x1440;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2218;;156.9 mm;1080x2246;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2219;;144.78 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2220;;157 mm;720x1500;Color IPS TFT LCD display;24 bit/pixel;Yes;
2221;;102 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;LED;
2222;;154.64 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;
2223;1-hole;162.3 mm;1080x2340;Color PLS TFT LCD display;24 bit/pixel;LED;
2224;;144.78 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;LED;
2225;;101.6 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
2226;;102 mm;480x800;Color IPS TFT LCD display;24 bit/pixel;LED;
2227;;280 mm;1668x2388;Color IPS TFT LCD display;30 bit/pixel;LED;120 Hz
2228;;162.9 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2229;;328.4 mm;2048x2732;Color IPS TFT LCD display;30 bit/pixel;LED;
2230;;267 mm;1668x2224;Color IPS TFT LCD display;30 bit/pixel;LED;
2231;;127 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;LED;
2232;;139.7 mm;1080x2160;Color ASV TFT LCD display;30 bit/pixel;Yes;
2233;;159.5 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2234;;254 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;Yes;
2235;;134.62 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2236;;132 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2237;;256 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2238;;256 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2239;;162.8 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2240;;114 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2241;;152 mm;1440x2880;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2242;;148.59 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2243;;83.82 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2244;;157.45 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;LED;
2245;;127 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;Yes;
2246;;152.4 mm;1080x2160;Color AM-OLED display;24 bit/pixel;LED;
2247;;152 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;LED;
2248;;160.53 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;LED;
2249;;157.48 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;LED;
2250;;138.4 mm;720x1440;Color ASV TFT LCD display;24 bit/pixel;LED;
2251;;81 mm;480x800;Color TN-TFT LCD display;18 bit/pixel;Yes;
2252;;157.97 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2253;;135.6 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;LED;
2254;;152.4 mm;1080x2180;Color IPS TFT LCD display;24 bit/pixel;Yes;
2255;;139 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2256;;156.97 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;
2257;;152.4 mm;1080x2160;Color PLS TFT LCD display;24 bit/pixel;LED;
2258;;152 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2259;;107 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2260;;152.14 mm;1080x2160;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2261;;127 mm;480x845;Color IPS TFT LCD display;24 bit/pixel;LED;
2262;;152.21 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2263;;148.6 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2264;;148.6 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2265;;152.4 mm;1440x2880;Color PVA TFT LCD display;30 bit/pixel;LED;
2266;;157.2 mm;720x1500;Color IPS TFT LCD display;24 bit/pixel;LED;
2267;;160 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2268;;162.81 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2269;;149.9 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2270;;203 mm;1920x1200;Color TN-TFT LCD display;24 bit/pixel;LED;
2271;;96 mm;320x480;Color TN-TFT LCD display;16 bit/pixel;Yes;
2272;;88.9 mm;320x480;Color IPS TFT LCD display;24 bit/pixel;Yes;
2273;;155 mm;828x1792;Color IPS TFT LCD display;30 bit/pixel;LED;
2274;;86.36 mm;540x960;Color ASV TFT LCD display;24 bit/pixel;Yes;
2275;;119.4 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2276;;157.5 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2277;;303.7 mm;2160x1440;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2278;;157 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2279;;165.86 mm;1080x2244;Color IPS TFT LCD display;30 bit/pixel;LED;
2280;;144.8 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2281;;148.55 mm;1125x2436;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2282;;132 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2283;;226 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2284;;177.8 mm;1024x600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2285;;152.4 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2286;;226 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2287;;177.8 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2288;;226 mm;1280x800;Color TN-TFT LCD display;24 bit/pixel;Yes;
2289;;160 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2290;;157.48 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2291;;139 mm;1080x2160;Yes;24 bit/pixel;Yes;
2292;;145.3 mm;1440x2560;Color ASV TFT LCD display;24 bit/pixel;LED;120 Hz
2293;;35.3 mm;400x400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2294;;38.8 mm;320x320;Color IPS TFT LCD display;24 bit/pixel;LED;
2295;;148.6 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2296;;144.78 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2297;;30.5 mm;360x360;Color IPS TFT LCD display;24 bit/pixel;LED;
2298;;165 mm;1242x2688;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2299;;157 mm;1080x2246;Color IPS TFT LCD display;30 bit/pixel;LED;
2300;;139.7 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;LED;
2301;;127 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;LED;
2302;;152.14 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2303;;156 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;
2304;;149.86 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2305;;157.48 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;
2306;;132 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2307;;156.7 mm;1080x2242;Color IPS TFT LCD display;30 bit/pixel;LED;
2308;;148.33 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2309;;152 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2310;;106.87 mm;768x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2311;;132.08 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2312;;176.5 mm;1024x600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2313;;203.2 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2314;;144 mm;720x1498;Color IPS TFT LCD display;24 bit/pixel;LED;
2315;;132 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2316;;30.5 mm;390x390;Color TN-TFT LCD display;24 bit/pixel;Yes;
2317;;144 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;LED;
2318;;160 mm;1080x2340;Color TN-TFT LCD display;24 bit/pixel;LED;
2319;;162.4 mm;1440x3120;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2320;;149 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2321;;256.54 mm;1024x600;Color TN-TFT LCD display;24 bit/pixel;Yes;
2322;;144.78 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
